CODE,DATE,DAY,MONTH,YEAR,VALUE
BM12_ERC12,2013-01-01T00:00:00-02:00,1,1,2013,2.030477273
BM12_ERC12,2013-02-01T00:00:00-02:00,1,2,2013,1.972677778
BM12_ERC12,2013-03-01T00:00:00-03:00,1,3,2013,1.98227
BM12_ERC12,2013-04-01T00:00:00-03:00,1,4,2013,2.001631818
BM12_ERC12,2013-05-01T00:00:00-03:00,1,5,2013,2.034266667
BM12_ERC12,2013-06-01T00:00:00-03:00,1,6,2013,2.172375
BM12_ERC12,2013-07-01T00:00:00-03:00,1,7,2013,2.25156087
BM12_ERC12,2013-08-01T00:00:00-03:00,1,8,2013,2.341595455
BM12_ERC12,2013-09-01T00:00:00-03:00,1,9,2013,2.2699
BM12_ERC12,2013-10-01T00:00:00-03:00,1,10,2013,2.188056522
BM12_ERC12,2013-11-01T00:00:00-02:00,1,11,2013,2.29471
BM12_ERC12,2013-12-01T00:00:00-02:00,1,12,2013,2.344861905
BM12_ERC12,2014-01-01T00:00:00-02:00,1,1,2014,2.381604545
BM12_ERC12,2014-02-01T00:00:00-02:00,1,2,2014,2.38309
BM12_ERC12,2014-03-01T00:00:00-03:00,1,3,2014,2.325494737
BM12_ERC12,2014-04-01T00:00:00-03:00,1,4,2014,2.231725
BM12_ERC12,2014-05-01T00:00:00-03:00,1,5,2014,2.220280952
BM12_ERC12,2014-06-01T00:00:00-03:00,1,6,2014,2.23486
BM12_ERC12,2014-07-01T00:00:00-03:00,1,7,2014,2.224021739
BM12_ERC12,2014-08-01T00:00:00-03:00,1,8,2014,2.26742381
BM12_ERC12,2014-09-01T00:00:00-03:00,1,9,2014,2.332254545
BM12_ERC12,2014-10-01T00:00:00-03:00,1,10,2014,2.447643478
BM12_ERC12,2014-11-01T00:00:00-02:00,1,11,2014,2.54823
BM12_ERC12,2014-12-01T00:00:00-02:00,1,12,2014,2.638736364
BM12_ERC12,2015-01-01T00:00:00-02:00,1,1,2015,2.633619048
BM12_ERC12,2015-02-01T00:00:00-02:00,1,2,2015,2.815838889
BM12_ERC12,2015-03-01T00:00:00-03:00,1,3,2015,3.138863636
BM12_ERC12,2015-04-01T00:00:00-03:00,1,4,2015,3.042595
BM12_ERC12,2015-05-01T00:00:00-03:00,1,5,2015,3.061075
BM12_ERC12,2015-06-01T00:00:00-03:00,1,6,2015,3.11112381
BM12_ERC12,2015-07-01T00:00:00-03:00,1,7,2015,3.222508696
BM12_ERC12,2015-08-01T00:00:00-03:00,1,8,2015,3.513695238
BM12_ERC12,2015-09-01T00:00:00-03:00,1,9,2015,3.905809524
BM12_ERC12,2015-10-01T00:00:00-03:00,1,10,2015,3.879504762
BM12_ERC12,2015-11-01T00:00:00-02:00,1,11,2015,3.7758
BM12_ERC12,2015-12-01T00:00:00-02:00,1,12,2015,3.870495455
BM12_ERC12,2016-01-01T00:00:00-02:00,1,1,2016,4.051715
BM12_ERC12,2016-02-01T00:00:00-02:00,1,2,2016,3.973115789
BM12_ERC12,2016-03-01T00:00:00-03:00,1,3,2016,3.703309091
BM12_ERC12,2016-04-01T00:00:00-03:00,1,4,2016,3.56524
BM12_ERC12,2016-05-01T00:00:00-03:00,1,5,2016,3.538685714
BM12_ERC12,2016-06-01T00:00:00-03:00,1,6,2016,3.423877273
BM12_ERC12,2016-07-01T00:00:00-03:00,1,7,2016,3.274710526
BM12_ERC12,2016-08-01T00:00:00-03:00,1,8,2016,3.209056522
BM12_ERC12,2016-09-01T00:00:00-03:00,1,9,2016,3.255771429
BM12_ERC12,2016-10-01T00:00:00-03:00,1,10,2016,3.1852
BM12_ERC12,2016-11-01T00:00:00-02:00,1,11,2016,3.3414
BM12_ERC12,2016-12-01T00:00:00-02:00,1,12,2016,3.35166818181818
BM12_ERC12,2017-01-01T00:00:00-02:00,1,1,2017,3.19598636363636
BM12_ERC12,2017-02-01T00:00:00-02:00,1,2,2017,3.10358888888889
BM12_ERC12,2017-03-01T00:00:00-03:00,1,3,2017,3.12733043478261
BM12_ERC12,2017-04-01T00:00:00-03:00,1,4,2017,3.13557222222222
BM12_ERC12,2017-05-01T00:00:00-03:00,1,5,2017,3.20870454545455
BM12_ERC12,2017-06-01T00:00:00-03:00,1,6,2017,3.29476666666667
BM12_ERC12,2017-07-01T00:00:00-03:00,1,7,2017,3.2055380952381
BM12_ERC12,2017-08-01T00:00:00-03:00,1,8,2017,3.15031304347826
BM12_ERC12,2017-09-01T00:00:00-03:00,1,9,2017,3.13419
BM12_ERC12,2017-10-01T00:00:00-03:00,1,10,2017,3.1906380952381
BM12_ERC12,2017-11-01T00:00:00-02:00,1,11,2017,3.258735
BM12_ERC12,2017-12-01T00:00:00-02:00,1,12,2017,3.29131
BM12_ERC12,2018-01-01T00:00:00-02:00,1,1,2018,3.20998636363636
BM12_ERC12,2018-02-01T00:00:00-02:00,1,2,2018,3.24090555555556
BM12_ERC12,2018-03-01T00:00:00-03:00,1,3,2018,3.27861428571429
BM12_ERC12,2018-04-01T00:00:00-03:00,1,4,2018,3.4069
BM12_ERC12,2018-05-01T00:00:00-03:00,1,5,2018,3.63546190476191
BM12_ERC12,2018-06-01T00:00:00-03:00,1,6,2018,3.77257142857143
BM12_ERC12,2018-07-01T00:00:00-03:00,1,7,2018,3.82813636363636
BM12_ERC12,2018-08-01T00:00:00-03:00,1,8,2018,3.92915652173913
BM12_ERC12,2018-09-01T00:00:00-03:00,1,9,2018,4.11594736842105
BM12_ERC12,2018-10-01T00:00:00-03:00,1,10,2018,3.75780454545455
BM12_ERC12,2018-11-01T00:00:00-03:00,1,11,2018,3.786015
BM12_ERC12,2018-12-01T00:00:00-02:00,1,12,2018,3.88213636363636
BM12_ERC12,2019-01-01T00:00:00-02:00,1,1,2019,3.74105454545455
BM12_ERC12,2019-02-01T00:00:00-02:00,1,2,2019,3.723025
BM12_ERC12,2019-03-01T00:00:00-03:00,1,3,2019,3.84588421052632
BM12_ERC12,2019-04-01T00:00:00-03:00,1,4,2019,3.89555714285714
BM12_ERC12,2019-05-01T00:00:00-03:00,1,5,2019,4.00091818181818
BM12_ERC12,2019-06-01T00:00:00-03:00,1,6,2019,3.85822631578947
BM12_ERC12,2019-07-01T00:00:00-03:00,1,7,2019,3.77871304347826
BM12_ERC12,2019-08-01T00:00:00-03:00,1,8,2019,4.01938181818182
BM12_ERC12,2019-09-01T00:00:00-03:00,1,9,2019,4.1209
BM12_ERC12,2019-10-01T00:00:00-03:00,1,10,2019,4.08638695652174
BM12_ERC12,2019-11-01T00:00:00-03:00,1,11,2019,4.154725
BM12_ERC12,2019-12-01T00:00:00-03:00,1,12,2019,4.10892380952381
BM12_ERC12,2020-01-01T00:00:00-03:00,1,1,2020,4.14886363636364
BM12_ERC12,2020-02-01T00:00:00-03:00,1,2,2020,4.34041111111111
BM12_ERC12,2020-03-01T00:00:00-03:00,1,3,2020,4.88321818181818
BM12_ERC12,2020-04-01T00:00:00-03:00,1,4,2020,5.324985
BM12_ERC12,2020-05-01T00:00:00-03:00,1,5,2020,5.64285
BM12_ERC12,2020-06-01T00:00:00-03:00,1,6,2020,5.196
BM12_ERC12,2020-07-01T00:00:00-03:00,1,7,2020,5.2796
BM12_ERC12,2020-08-01T00:00:00-03:00,1,8,2020,5.4606
BM12_ERC12,2020-09-01T00:00:00-03:00,1,9,2020,5.3989
BM12_ERC12,2020-10-01T00:00:00-03:00,1,10,2020,5.6252
BM12_ERC12,2020-11-01T00:00:00-03:00,1,11,2020,5.4172
BM12_ERC12,2020-12-01T00:00:00-03:00,1,12,2020,5.1449
BM12_ERC12,2021-01-01T00:00:00-03:00,1,1,2021,5.3556
BM12_ERC12,2021-02-01T00:00:00-03:00,1,2,2021,5.4159
BM12_ERC12,2021-03-01T00:00:00-03:00,1,3,2021,5.6455
BM12_ERC12,2021-04-01T00:00:00-03:00,1,4,2021,5.5615
BM12_ERC12,2021-05-01T00:00:00-03:00,1,5,2021,5.2904
BM12_ERC12,2021-06-01T00:00:00-03:00,1,6,2021,5.0313
BM12_ERC12,2021-07-01T00:00:00-03:00,1,7,2021,5.156
BM12_ERC12,2021-08-01T00:00:00-03:00,1,8,2021,5.2511
BM12_ERC12,2021-09-01T00:00:00-03:00,1,9,2021,5.2791
BM12_ERC12,2021-10-01T00:00:00-03:00,1,10,2021,5.5394
BM12_ERC12,2021-11-01T00:00:00-03:00,1,11,2021,5.5563
BM12_ERC12,2021-12-01T00:00:00-03:00,1,12,2021,5.6506
BM12_ERC12,2022-01-01T00:00:00-03:00,1,1,2022,5.5335
BM12_ERC12,2022-02-01T00:00:00-03:00,1,2,2022,5.196
BM12_ERC12,2022-03-01T00:00:00-03:00,1,3,2022,4.9678
BM12_ERC12,2022-04-01T00:00:00-03:00,1,4,2022,4.7574
BM12_ERC12,2022-05-01T00:00:00-03:00,1,5,2022,4.9545
BM12_ERC12,2022-06-01T00:00:00-03:00,1,6,2022,5.0486
BM12_ERC12,2022-07-01T00:00:00-03:00,1,7,2022,5.3675
BM12_ERC12,2022-08-01T00:00:00-03:00,1,8,2022,5.1427
BM12_ERC12,2022-09-01T00:00:00-03:00,1,9,2022,5.2364
BM12_ERC12,2022-10-01T00:00:00-03:00,1,10,2022,5.2497
BM12_ERC12,2022-11-01T00:00:00-03:00,1,11,2022,5.2741
BM12_ERC12,2022-12-01T00:00:00-03:00,1,12,2022,5.2418
BM12_ERC12,2023-01-01T00:00:00-03:00,1,1,2023,5.2001
BM12_ERC12,2023-02-01T00:00:00-03:00,1,2,2023,5.1711
BM12_ERC12,2023-03-01T00:00:00-03:00,1,3,2023,5.2109
BM12_ERC12,2023-04-01T00:00:00-03:00,1,4,2023,5.0191
BM12_ERC12,2023-05-01T00:00:00-03:00,1,5,2023,4.9822
BM12_ERC12,2023-06-01T00:00:00-03:00,1,6,2023,4.851
BM12_ERC12,2023-07-01T00:00:00-03:00,1,7,2023,4.8002
BM12_ERC12,2023-08-01T00:00:00-03:00,1,8,2023,4.9029
BM12_ERC12,2023-09-01T00:00:00-03:00,1,9,2023,4.9364
BM12_ERC12,2023-10-01T00:00:00-03:00,1,10,2023,5.0642
BM12_ERC12,2023-11-01T00:00:00-03:00,1,11,2023,4.8977
BM12_ERC12,2023-12-01T00:00:00-03:00,1,12,2023,4.8966
BM12_ERC12,2024-01-01T00:00:00-03:00,1,1,2024,4.9138
BM12_ERC12,2024-02-01T00:00:00-03:00,1,2,2024,4.9638
BM12_ERC12,2024-03-01T00:00:00-03:00,1,3,2024,4.9795
BM12_ERC12,2024-04-01T00:00:00-03:00,1,4,2024,5.1285
BM12_ERC12,2024-05-01T00:00:00-03:00,1,5,2024,5.1324
BM12_ERC12,2024-06-01T00:00:00-03:00,1,6,2024,5.3884
BM12_ERC12,2024-07-01T00:00:00-03:00,1,7,2024,5.5414
BM12_ERC12,2024-08-01T00:00:00-03:00,1,8,2024,5.552
BM12_ERC12,2024-09-01T00:00:00-03:00,1,9,2024,5.541
BM12_ERC12,2024-10-01T00:00:00-03:00,1,10,2024,5.6235
BM12_ERC12,2024-11-01T00:00:00-03:00,1,11,2024,5.8065
BM12_ERC12,2024-12-01T00:00:00-03:00,1,12,2024,6.0964
BM12_ERC12,2025-01-01T00:00:00-03:00,1,1,2025,6.0212
BM12_ERC12,2025-02-01T00:00:00-03:00,1,2,2025,5.765
BM12_ERC12,2025-03-01T00:00:00-03:00,1,3,2025,5.7462
BM12_ERC12,2025-04-01T00:00:00-03:00,1,4,2025,5.7831
BM12_ERC12,2025-05-01T00:00:00-03:00,1,5,2025,5.6668
BM12_ERC12,2025-06-01T00:00:00-03:00,1,6,2025,5.5465
BM12_ERC12,2025-07-01T00:00:00-03:00,1,7,2025,5.5279
BM12_ERC12,2025-08-01T00:00:00-03:00,1,8,2025,5.4463
BM12_ERC12,2025-09-01T00:00:00-03:00,1,9,2025,5.3668
