CODE,DATE,DAY,MONTH,YEAR,VALUE
BM12_IPCAEXP1212,2013-01-01T00:00:00-02:00,1,1,2013,5.7
BM12_IPCAEXP1212,2013-02-01T00:00:00-02:00,1,2,2013,5.5
BM12_IPCAEXP1212,2013-03-01T00:00:00-03:00,1,3,2013,5.53
BM12_IPCAEXP1212,2013-04-01T00:00:00-03:00,1,4,2013,5.56
BM12_IPCAEXP1212,2013-05-01T00:00:00-03:00,1,5,2013,5.62
BM12_IPCAEXP1212,2013-06-01T00:00:00-03:00,1,6,2013,5.74
BM12_IPCAEXP1212,2013-07-01T00:00:00-03:00,1,7,2013,5.66
BM12_IPCAEXP1212,2013-08-01T00:00:00-03:00,1,8,2013,6.06
BM12_IPCAEXP1212,2013-09-01T00:00:00-03:00,1,9,2013,6.16
BM12_IPCAEXP1212,2013-10-01T00:00:00-03:00,1,10,2013,6.25
BM12_IPCAEXP1212,2013-11-01T00:00:00-02:00,1,11,2013,6.14
BM12_IPCAEXP1212,2013-12-01T00:00:00-02:00,1,12,2013,6.11
BM12_IPCAEXP1212,2014-01-01T00:00:00-02:00,1,1,2014,6.02
BM12_IPCAEXP1212,2014-02-01T00:00:00-02:00,1,2,2014,6.17
BM12_IPCAEXP1212,2014-03-01T00:00:00-03:00,1,3,2014,6.42
BM12_IPCAEXP1212,2014-04-01T00:00:00-03:00,1,4,2014,6.22
BM12_IPCAEXP1212,2014-05-01T00:00:00-03:00,1,5,2014,6.03
BM12_IPCAEXP1212,2014-06-01T00:00:00-03:00,1,6,2014,6.01
BM12_IPCAEXP1212,2014-07-01T00:00:00-03:00,1,7,2014,5.95
BM12_IPCAEXP1212,2014-08-01T00:00:00-03:00,1,8,2014,6.15
BM12_IPCAEXP1212,2014-09-01T00:00:00-03:00,1,9,2014,6.33
BM12_IPCAEXP1212,2014-10-01T00:00:00-03:00,1,10,2014,6.41
BM12_IPCAEXP1212,2014-11-01T00:00:00-02:00,1,11,2014,6.56
BM12_IPCAEXP1212,2014-12-01T00:00:00-02:00,1,12,2014,6.73
BM12_IPCAEXP1212,2015-01-01T00:00:00-02:00,1,1,2015,6.97
BM12_IPCAEXP1212,2015-02-01T00:00:00-02:00,1,2,2015,6.88
BM12_IPCAEXP1212,2015-03-01T00:00:00-03:00,1,3,2015,7.01
BM12_IPCAEXP1212,2015-04-01T00:00:00-03:00,1,4,2015,6.17
BM12_IPCAEXP1212,2015-05-01T00:00:00-03:00,1,5,2015,6.11
BM12_IPCAEXP1212,2015-06-01T00:00:00-03:00,1,6,2015,6.38
BM12_IPCAEXP1212,2015-07-01T00:00:00-03:00,1,7,2015,5.98
BM12_IPCAEXP1212,2015-08-01T00:00:00-03:00,1,8,2015,5.66
BM12_IPCAEXP1212,2015-09-01T00:00:00-03:00,1,9,2015,6.15
BM12_IPCAEXP1212,2015-10-01T00:00:00-03:00,1,10,2015,6.72
BM12_IPCAEXP1212,2015-11-01T00:00:00-02:00,1,11,2015,7.16
BM12_IPCAEXP1212,2015-12-01T00:00:00-02:00,1,12,2015,7.19
BM12_IPCAEXP1212,2016-01-01T00:00:00-02:00,1,1,2016,7.29
BM12_IPCAEXP1212,2016-02-01T00:00:00-02:00,1,2,2016,7.01
BM12_IPCAEXP1212,2016-03-01T00:00:00-03:00,1,3,2016,6.52
BM12_IPCAEXP1212,2016-04-01T00:00:00-03:00,1,4,2016,6.21
BM12_IPCAEXP1212,2016-05-01T00:00:00-03:00,1,5,2016,6.17
BM12_IPCAEXP1212,2016-06-01T00:00:00-03:00,1,6,2016,6.01
BM12_IPCAEXP1212,2016-07-01T00:00:00-03:00,1,7,2016,5.7
BM12_IPCAEXP1212,2016-08-01T00:00:00-03:00,1,8,2016,5.44
BM12_IPCAEXP1212,2016-09-01T00:00:00-03:00,1,9,2016,5.07
BM12_IPCAEXP1212,2016-10-01T00:00:00-03:00,1,10,2016,4.87
BM12_IPCAEXP1212,2016-11-01T00:00:00-02:00,1,11,2016,4.8
BM12_IPCAEXP1212,2016-12-01T00:00:00-02:00,1,12,2016,4.69
BM12_IPCAEXP1212,2017-01-01T00:00:00-02:00,1,1,2017,4.71
BM12_IPCAEXP1212,2017-02-01T00:00:00-02:00,1,2,2017,4.53
BM12_IPCAEXP1212,2017-03-01T00:00:00-03:00,1,3,2017,4.45
BM12_IPCAEXP1212,2017-04-01T00:00:00-03:00,1,4,2017,4.45
BM12_IPCAEXP1212,2017-05-01T00:00:00-03:00,1,5,2017,4.64
BM12_IPCAEXP1212,2017-06-01T00:00:00-03:00,1,6,2017,4.12
BM12_IPCAEXP1212,2017-07-01T00:00:00-03:00,1,7,2017,4.47
BM12_IPCAEXP1212,2017-08-01T00:00:00-03:00,1,8,2017,4.37
BM12_IPCAEXP1212,2017-09-01T00:00:00-03:00,1,9,2017,3.89
BM12_IPCAEXP1212,2017-10-01T00:00:00-03:00,1,10,2017,4.14
BM12_IPCAEXP1212,2017-11-01T00:00:00-02:00,1,11,2017,3.99
BM12_IPCAEXP1212,2017-12-01T00:00:00-02:00,1,12,2017,3.8
BM12_IPCAEXP1212,2018-01-01T00:00:00-02:00,1,1,2018,3.98
BM12_IPCAEXP1212,2018-02-01T00:00:00-02:00,1,2,2018,3.92
BM12_IPCAEXP1212,2018-03-01T00:00:00-03:00,1,3,2018,3.86
BM12_IPCAEXP1212,2018-04-01T00:00:00-03:00,1,4,2018,4.07
BM12_IPCAEXP1212,2018-05-01T00:00:00-03:00,1,5,2018,4.35
BM12_IPCAEXP1212,2018-06-01T00:00:00-03:00,1,6,2018,4.77
BM12_IPCAEXP1212,2018-07-01T00:00:00-03:00,1,7,2018,3.74
BM12_IPCAEXP1212,2018-08-01T00:00:00-03:00,1,8,2018,3.65
BM12_IPCAEXP1212,2018-09-01T00:00:00-03:00,1,9,2018,4.14
BM12_IPCAEXP1212,2018-10-01T00:00:00-03:00,1,10,2018,4.02
BM12_IPCAEXP1212,2018-11-01T00:00:00-03:00,1,11,2018,3.4
BM12_IPCAEXP1212,2018-12-01T00:00:00-02:00,1,12,2018,3.68
