CODE,DATE,DAY,MONTH,YEAR,VALUE
PRECOS12_IPCAGA12,2013-01-01T00:00:00-02:00,1,1,2013,6.15
PRECOS12_IPCAGA12,2013-02-01T00:00:00-02:00,1,2,2013,6.31
PRECOS12_IPCAGA12,2013-03-01T00:00:00-03:00,1,3,2013,6.59
PRECOS12_IPCAGA12,2013-04-01T00:00:00-03:00,1,4,2013,6.49
PRECOS12_IPCAGA12,2013-05-01T00:00:00-03:00,1,5,2013,6.5
PRECOS12_IPCAGA12,2013-06-01T00:00:00-03:00,1,6,2013,6.7
PRECOS12_IPCAGA12,2013-07-01T00:00:00-03:00,1,7,2013,6.27
PRECOS12_IPCAGA12,2013-08-01T00:00:00-03:00,1,8,2013,6.09
PRECOS12_IPCAGA12,2013-09-01T00:00:00-03:00,1,9,2013,5.86
PRECOS12_IPCAGA12,2013-10-01T00:00:00-03:00,1,10,2013,5.84
PRECOS12_IPCAGA12,2013-11-01T00:00:00-02:00,1,11,2013,5.77
PRECOS12_IPCAGA12,2013-12-01T00:00:00-02:00,1,12,2013,5.91
PRECOS12_IPCAGA12,2014-01-01T00:00:00-02:00,1,1,2014,5.59
PRECOS12_IPCAGA12,2014-02-01T00:00:00-02:00,1,2,2014,5.68
PRECOS12_IPCAGA12,2014-03-01T00:00:00-03:00,1,3,2014,6.15
PRECOS12_IPCAGA12,2014-04-01T00:00:00-03:00,1,4,2014,6.28
PRECOS12_IPCAGA12,2014-05-01T00:00:00-03:00,1,5,2014,6.37
PRECOS12_IPCAGA12,2014-06-01T00:00:00-03:00,1,6,2014,6.52
PRECOS12_IPCAGA12,2014-07-01T00:00:00-03:00,1,7,2014,6.5
PRECOS12_IPCAGA12,2014-08-01T00:00:00-03:00,1,8,2014,6.51
PRECOS12_IPCAGA12,2014-09-01T00:00:00-03:00,1,9,2014,6.75
PRECOS12_IPCAGA12,2014-10-01T00:00:00-03:00,1,10,2014,6.59
PRECOS12_IPCAGA12,2014-11-01T00:00:00-02:00,1,11,2014,6.56
PRECOS12_IPCAGA12,2014-12-01T00:00:00-02:00,1,12,2014,6.41
PRECOS12_IPCAGA12,2015-01-01T00:00:00-02:00,1,1,2015,7.14
PRECOS12_IPCAGA12,2015-02-01T00:00:00-02:00,1,2,2015,7.7
PRECOS12_IPCAGA12,2015-03-01T00:00:00-03:00,1,3,2015,8.13
PRECOS12_IPCAGA12,2015-04-01T00:00:00-03:00,1,4,2015,8.17
PRECOS12_IPCAGA12,2015-05-01T00:00:00-03:00,1,5,2015,8.47
PRECOS12_IPCAGA12,2015-06-01T00:00:00-03:00,1,6,2015,8.89
PRECOS12_IPCAGA12,2015-07-01T00:00:00-03:00,1,7,2015,9.56
PRECOS12_IPCAGA12,2015-08-01T00:00:00-03:00,1,8,2015,9.53
PRECOS12_IPCAGA12,2015-09-01T00:00:00-03:00,1,9,2015,9.49
PRECOS12_IPCAGA12,2015-10-01T00:00:00-03:00,1,10,2015,9.93
PRECOS12_IPCAGA12,2015-11-01T00:00:00-02:00,1,11,2015,10.48
PRECOS12_IPCAGA12,2015-12-01T00:00:00-02:00,1,12,2015,10.67
PRECOS12_IPCAGA12,2016-01-01T00:00:00-02:00,1,1,2016,10.71
PRECOS12_IPCAGA12,2016-02-01T00:00:00-02:00,1,2,2016,10.36
PRECOS12_IPCAGA12,2016-03-01T00:00:00-03:00,1,3,2016,9.39
PRECOS12_IPCAGA12,2016-04-01T00:00:00-03:00,1,4,2016,9.28
PRECOS12_IPCAGA12,2016-05-01T00:00:00-03:00,1,5,2016,9.32
PRECOS12_IPCAGA12,2016-06-01T00:00:00-03:00,1,6,2016,8.84
PRECOS12_IPCAGA12,2016-07-01T00:00:00-03:00,1,7,2016,8.74
PRECOS12_IPCAGA12,2016-08-01T00:00:00-03:00,1,8,2016,8.97
PRECOS12_IPCAGA12,2016-09-01T00:00:00-03:00,1,9,2016,8.48
PRECOS12_IPCAGA12,2016-10-01T00:00:00-03:00,1,10,2016,7.87
PRECOS12_IPCAGA12,2016-11-01T00:00:00-02:00,1,11,2016,6.99
PRECOS12_IPCAGA12,2016-12-01T00:00:00-02:00,1,12,2016,6.29
